Event,Rank,Team ID,Team,NQS,Average,High,Division,Conference,Region,USAG
BB,1,69,Utah,49.67,49.593,49.775,Div I,PAC-12,NC,0
BB,2,47,Oklahoma,49.63,49.54,49.8,Div I,Big 12,SC,0
BB,3,22,Florida,49.58,49.523,49.675,Div I,SEC,SE,0
BB,4,48,Oregon State,49.565,49.469,49.65,Div I,PAC-12,W,0
BB,5,66,UCLA,49.56,49.366,49.625,Div I,PAC-12,W,0
BB,6,15,California,49.54,49.45,49.825,Div I,PAC-12,W,0
BB,7,37,Michigan,49.495,49.37,49.625,Div I,Big Ten,NE,0
BB,8(t),20,Denver,49.445,49.366,49.65,Div I,Big 12,NC,0
BB,8(t),2,Alabama,49.445,49.352,49.7,Div I,SEC,C,0
BB,10,34,LSU,49.415,49.281,49.55,Div I,SEC,C,0
BB,11,40,Missouri,49.4,49.234,49.55,Div I,SEC,SC,0
BB,12,38,Michigan State,49.385,49.227,49.6,Div I,Big Ten,C,0
BB,13,33,Kentucky,49.38,49.336,49.45,Div I,SEC,C,0
BB,14,61,Stanford,49.335,49.154,49.5,Div I,PAC-12,W,0
BB,15,4,Arizona,49.325,49.219,49.4,Div I,PAC-12,SC,0
BB,16,7,Auburn,49.305,49.2,49.5,Div I,SEC,C,0
BB,17,28,Illinois,49.295,49.185,49.675,Div I,Big Ten,SC,0
BB,18,59,Southern Utah,49.265,48.958,49.45,Div I,MRGC,NC,0
BB,19(t),6,Arkansas,49.255,49.018,49.525,Div I,SEC,SC,0
BB,19(t),5,Arizona State,49.255,49.07,49.4,Div I,PAC-12,SC,0
BB,21,46,Ohio State,49.24,49.152,49.525,Div I,Big Ten,C,0
BB,22,53,Rutgers,49.22,49.01,49.4,Div I,Big Ten,NE,0
BB,23,24,Georgia,49.21,49.09,49.4,Div I,SEC,SE,0
BB,24,71,Washington,49.205,48.931,49.35,Div I,PAC-12,W,0
BB,25,10,Boise State,49.2,49.088,49.425,Div I,MRGC,W,0
BB,26,29,Iowa,49.185,48.886,49.325,Div I,Big Ten,NC,0
BB,27(t),41,Nebraska,49.155,49.1,49.4,Div I,Big Ten,SC,0
BB,27(t),9,Ball State,49.155,48.881,49.35,Div I,MAC,C,0
BB,29(t),8,BYU,49.14,48.781,49.35,Div I,MRGC,NC,0
BB,29(t),56,San Jose State,49.14,49.016,49.325,Div I,MPSF,W,0
BB,31(t),74,Western Michigan,49.135,48.923,49.375,Div I,MAC,C,0
BB,31(t),44,North Carolina State,49.135,49.0,49.4,Div I,EAGL,SE,0
BB,33,36,Maryland,49.125,48.829,49.3,Div I,Big Ten,SE,0
BB,34,49,Penn State,49.105,49.008,49.425,Div I,Big Ten,NE,0
BB,35,43,North Carolina,49.095,48.771,49.175,Div I,EAGL,SE,0
BB,36,73,West Virginia,49.055,48.921,49.475,Div I,Big 12,SE,0
BB,37,23,George Washington,49.05,48.78,49.2,Div I,EAGL,SE,0
BB,38,30,Iowa State,49.035,48.646,49.3,Div I,Big 12,NC,0
BB,39,45,Northern Illinois,49.03,48.727,49.225,Div I,MAC,SC,0
BB,40,39,Minnesota,49.02,48.793,49.425,Div I,Big Ten,NC,0
BB,41,51,Pittsburgh,49.015,48.598,49.175,Div I,EAGL,NE,0
BB,42,11,Bowling Green,48.995,48.55,49.175,Div I,MAC,C,0
BB,43,65,UC Davis,48.99,48.564,49.275,Div I,MPSF,W,0
BB,44,64,Towson,48.975,48.827,49.225,Div I,EAGL,SE,0
BB,45,70,Utah State,48.97,48.653,49.075,Div I,MRGC,NC,0
BB,46,62,Temple,48.95,48.662,49.2,Div I,EAGL,NE,0
BB,47,55,Sacramento State,48.945,48.614,49.225,Div I,MPSF,W,0
BB,48,42,New Hampshire,48.94,48.413,49.3,Div I,EAGL,NE,0
BB,49,1,Air Force,48.935,48.711,49.125,Div I,MPSF,NC,1
BB,50,21,Eastern Michigan,48.92,48.648,49.1,Div I,MAC,C,0
BB,51(t),128,LIU,48.915,48.675,49.125,Div I,EAGL,NE,0
BB,51(t),50,Pennsylvania,48.915,48.677,49.475,Div I,GEC,NE,0
BB,53,63,Texas Woman's,48.865,48.577,49.075,Div II,MIC,SC,1
BB,54,32,Kent State,48.845,48.685,49.175,Div I,MAC,C,0
BB,55,17,Central Michigan,48.825,48.455,49.125,Div I,MAC,C,0
BB,56,35,Lindenwood,48.8,48.414,49.275,Div I,MIC,SC,1
BB,57,72,West Chester,48.755,48.421,48.95,Div II,GEC,NE,1
BB,58,54,S.E. Missouri,48.73,48.402,48.925,Div I,MIC,SC,1
BB,59,12,Bridgeport,48.575,47.917,48.9,Div II,GEC,NE,1
BB,60,27,Illinois State,48.565,48.233,49.05,Div I,MIC,SC,0
BB,61,14,Brown,48.515,48.268,48.925,Div I,GEC,NE,1
BB,62,18,Cornell,48.45,48.203,48.775,Div I,GEC,NE,1
BB,63,82,Yale,48.43,48.211,48.775,Div I,GEC,NE,1
BB,64,58,Southern Conn.,48.355,47.594,48.775,Div II,GEC,NE,1
BB,65,3,Alaska,48.32,47.811,48.875,Div I,MPSF,W,0
BB,66,156,Fisk,47.99,47.593,48.725,Div III,Ind.,SE,1
BB,67,75,William &amp; Mary,47.785,47.439,48.225,Div I,GEC,SE,0
BB,68(t),80,UW-Stout,47.725,47.511,48.225,Div III,WIAC,NC,0
BB,68(t),31,Ithaca College,47.725,47.538,48.825,Div III,NCGA East,NE,0
BB,70,79,UW-Oshkosh,47.71,47.523,48.825,Div III,WIAC,NC,0
BB,71,16,Centenary College,47.615,46.958,48.6,Div III,MIC,C,1
BB,72,78,UW-La Crosse,47.47,47.192,48.675,Div III,WIAC,NC,0
BB,73,13,Brockport,47.21,46.889,48.25,Div III,NCGA East,NE,0
BB,74,77,UW-Eau Claire,47.15,46.578,47.85,Div III,WIAC,NC,0
BB,75,60,Springfield College,47.145,46.914,47.675,Div III,NCGA East,NE,0
BB,76,52,Rhode Island College,47.0,46.869,48.475,Div III,NCGA East,NE,0
BB,77,81,UW-Whitewater,46.81,46.478,47.15,Div III,WIAC,NC,0
BB,78,68,Ursinus College,46.58,46.092,47.25,Div III,NCGA East,NE,0
BB,79,19,Cortland State,46.465,45.993,46.975,Div III,NCGA East,NE,0
BB,80,155,Simpson,46.22,46.116,47.025,Div III,Ind.,SC,0
BB,81,25,Gustavus Adolphus,45.945,45.789,47.675,Div III,WIAC,NC,0
BB,82,154,Greenville,45.71,45.414,46.925,Div III,Ind.,NC,0
BB,83,76,Winona State,45.48,44.983,47.225,Div III,WIAC,NC,0
BB,84,26,Hamline,45.445,45.09,46.2,Div III,WIAC,NC,0
