Event,Rank,Team ID,Team,NQS,Average,High,Division,Conference,Region,USAG
FX,1,66,UCLA,49.63,49.564,49.675,Div I,PAC-12,W,0
FX,2,22,Florida,49.615,49.486,49.725,Div I,SEC,SE,0
FX,3(t),34,LSU,49.595,49.452,49.75,Div I,SEC,C,0
FX,3(t),47,Oklahoma,49.595,49.531,49.75,Div I,Big 12,SC,0
FX,3(t),37,Michigan,49.595,49.55,49.7,Div I,Big Ten,NE,0
FX,6(t),69,Utah,49.53,49.452,49.675,Div I,PAC-12,NC,0
FX,6(t),2,Alabama,49.53,49.35,49.7,Div I,SEC,C,0
FX,8,48,Oregon State,49.51,49.421,49.675,Div I,PAC-12,W,0
FX,9,38,Michigan State,49.5,49.398,49.675,Div I,Big Ten,C,0
FX,10,15,California,49.495,49.398,49.7,Div I,PAC-12,W,0
FX,11,33,Kentucky,49.485,49.377,49.6,Div I,SEC,C,0
FX,12,39,Minnesota,49.47,49.409,49.7,Div I,Big Ten,NC,0
FX,13,7,Auburn,49.455,49.405,49.65,Div I,SEC,C,0
FX,14,40,Missouri,49.425,49.384,49.6,Div I,SEC,SC,0
FX,15(t),46,Ohio State,49.405,49.317,49.6,Div I,Big Ten,C,0
FX,15(t),5,Arizona State,49.405,49.239,49.575,Div I,PAC-12,SC,0
FX,17(t),29,Iowa,49.385,49.325,49.45,Div I,Big Ten,NC,0
FX,17(t),6,Arkansas,49.385,49.257,49.575,Div I,SEC,SC,0
FX,19,73,West Virginia,49.38,49.294,49.575,Div I,Big 12,SE,0
FX,20(t),24,Georgia,49.375,49.231,49.5,Div I,SEC,SE,0
FX,20(t),36,Maryland,49.375,49.215,49.525,Div I,Big Ten,SE,0
FX,22,59,Southern Utah,49.37,49.233,49.5,Div I,MRGC,NC,0
FX,23,17,Central Michigan,49.36,49.203,49.475,Div I,MAC,C,0
FX,24(t),28,Illinois,49.355,49.242,49.525,Div I,Big Ten,SC,0
FX,24(t),44,North Carolina State,49.355,49.263,49.625,Div I,EAGL,SE,0
FX,26(t),74,Western Michigan,49.34,49.198,49.525,Div I,MAC,C,0
FX,26(t),61,Stanford,49.34,49.221,49.5,Div I,PAC-12,W,0
FX,26(t),20,Denver,49.34,49.295,49.825,Div I,Big 12,NC,0
FX,29,65,UC Davis,49.325,49.082,49.525,Div I,MPSF,W,0
FX,30,64,Towson,49.31,49.113,49.375,Div I,EAGL,SE,0
FX,31,32,Kent State,49.295,49.258,49.425,Div I,MAC,C,0
FX,32,41,Nebraska,49.275,49.12,49.5,Div I,Big Ten,SC,0
FX,33,56,San Jose State,49.26,49.059,49.425,Div I,MPSF,W,0
FX,34,71,Washington,49.255,49.2,49.475,Div I,PAC-12,W,0
FX,35,27,Illinois State,49.25,49.102,49.425,Div I,MIC,SC,0
FX,36,8,BYU,49.245,49.067,49.35,Div I,MRGC,NC,0
FX,37,9,Ball State,49.24,49.11,49.4,Div I,MAC,C,0
FX,38,4,Arizona,49.215,49.131,49.5,Div I,PAC-12,SC,0
FX,39(t),53,Rutgers,49.19,48.983,49.425,Div I,Big Ten,NE,0
FX,39(t),30,Iowa State,49.19,49.081,49.35,Div I,Big 12,NC,0
FX,41(t),62,Temple,49.18,48.779,49.4,Div I,EAGL,NE,0
FX,41(t),51,Pittsburgh,49.18,48.988,49.35,Div I,EAGL,NE,0
FX,43,23,George Washington,49.17,49.013,49.3,Div I,EAGL,SE,0
FX,44,10,Boise State,49.14,48.995,49.25,Div I,MRGC,W,0
FX,45,45,Northern Illinois,49.12,48.942,49.325,Div I,MAC,SC,0
FX,46,70,Utah State,49.105,49.003,49.325,Div I,MRGC,NC,0
FX,47,49,Penn State,49.1,48.971,49.175,Div I,Big Ten,NE,0
FX,48,43,North Carolina,49.065,48.904,49.35,Div I,EAGL,SE,0
FX,49,54,S.E. Missouri,49.015,48.77,49.25,Div I,MIC,SC,1
FX,50,42,New Hampshire,49.005,48.858,49.25,Div I,EAGL,NE,0
FX,51,128,LIU,49.0,48.86,49.275,Div I,EAGL,NE,0
FX,52,63,Texas Woman's,48.965,48.81,49.075,Div II,MIC,SC,1
FX,53,35,Lindenwood,48.95,48.857,49.25,Div I,MIC,SC,1
