Event,Rank,Team ID,Team,NQS,Average,High,Division,Conference,Region,USAG
AA,1,47,Oklahoma,198.355,198.15,198.575,Div I,Big 12,SC,0
AA,2,22,Florida,198.11,197.95,198.425,Div I,SEC,SE,0
AA,3,37,Michigan,198.08,197.816,198.3,Div I,Big Ten,NE,0
AA,4,66,UCLA,197.95,197.702,198.275,Div I,PAC-12,W,0
AA,5,69,Utah,197.91,197.789,198.55,Div I,PAC-12,NC,0
AA,6,34,LSU,197.84,197.5,198.1,Div I,SEC,C,0
AA,7,15,California,197.825,197.608,198.275,Div I,PAC-12,W,0
AA,8,2,Alabama,197.72,197.311,198.0,Div I,SEC,C,0
AA,9,33,Kentucky,197.71,197.373,197.875,Div I,SEC,C,0
AA,10,38,Michigan State,197.595,197.206,198.225,Div I,Big Ten,C,0
AA,11,48,Oregon State,197.49,197.21,198.075,Div I,PAC-12,W,0
AA,12,7,Auburn,197.48,197.266,197.75,Div I,SEC,C,0
AA,13,20,Denver,197.445,197.32,198.15,Div I,Big 12,NC,0
AA,14,40,Missouri,197.115,196.961,197.85,Div I,SEC,SC,0
AA,15,5,Arizona State,197.105,196.734,197.725,Div I,PAC-12,SC,0
AA,16,46,Ohio State,197.1,196.888,197.6,Div I,Big Ten,C,0
AA,17,6,Arkansas,197.08,196.668,197.475,Div I,SEC,SC,0
AA,18,39,Minnesota,197.015,196.707,197.6,Div I,Big Ten,NC,0
AA,19,24,Georgia,196.955,196.615,197.325,Div I,SEC,SE,0
AA,20,61,Stanford,196.93,196.579,197.575,Div I,PAC-12,W,0
AA,21,59,Southern Utah,196.82,196.375,197.125,Div I,MRGC,NC,0
AA,22,28,Illinois,196.745,196.473,196.875,Div I,Big Ten,SC,0
AA,23,41,Nebraska,196.73,196.248,197.5,Div I,Big Ten,SC,0
AA,24,36,Maryland,196.71,196.231,197.1,Div I,Big Ten,SE,0
AA,25,29,Iowa,196.65,196.377,196.925,Div I,Big Ten,NC,0
AA,26,74,Western Michigan,196.59,195.957,197.1,Div I,MAC,C,0
AA,27,71,Washington,196.585,196.285,197.25,Div I,PAC-12,W,0
AA,28,4,Arizona,196.57,196.204,197.275,Div I,PAC-12,SC,0
AA,29,73,West Virginia,196.515,195.954,197.325,Div I,Big 12,SE,0
AA,30,44,North Carolina State,196.46,196.221,197.225,Div I,EAGL,SE,0
AA,31,64,Towson,196.45,196.104,196.775,Div I,EAGL,SE,0
AA,32,49,Penn State,196.415,196.131,197.025,Div I,Big Ten,NE,0
AA,33,8,BYU,196.4,195.802,196.65,Div I,MRGC,NC,0
AA,34,9,Ball State,196.395,196.029,196.9,Div I,MAC,C,0
AA,35,43,North Carolina,196.295,195.865,196.475,Div I,EAGL,SE,0
AA,36,10,Boise State,196.285,195.908,196.825,Div I,MRGC,W,0
AA,37,56,San Jose State,196.215,195.902,196.625,Div I,MPSF,W,0
AA,38,17,Central Michigan,196.165,195.658,196.525,Div I,MAC,C,0
AA,39,65,UC Davis,196.145,195.427,196.75,Div I,MPSF,W,0
AA,40,23,George Washington,195.97,195.568,196.55,Div I,EAGL,SE,0
AA,41,32,Kent State,195.92,195.663,196.175,Div I,MAC,C,0
AA,42,53,Rutgers,195.86,195.4,196.875,Div I,Big Ten,NE,0
AA,43,70,Utah State,195.725,195.115,196.175,Div I,MRGC,NC,0
AA,44,30,Iowa State,195.67,195.138,196.3,Div I,Big 12,NC,0
AA,45,51,Pittsburgh,195.655,195.229,196.55,Div I,EAGL,NE,0
AA,46,42,New Hampshire,195.585,194.763,196.55,Div I,EAGL,NE,0
AA,47,128,LIU,195.53,194.925,196.1,Div I,EAGL,NE,0
AA,48,45,Northern Illinois,195.525,195.067,195.95,Div I,MAC,SC,0
AA,49,62,Temple,195.49,194.9,196.375,Div I,EAGL,NE,0
AA,50,11,Bowling Green,195.355,194.408,196.2,Div I,MAC,C,0
AA,51,35,Lindenwood,195.275,194.43,196.275,Div I,MIC,SC,1
AA,52,27,Illinois State,195.26,194.66,196.375,Div I,MIC,SC,0
AA,53,21,Eastern Michigan,195.155,194.246,195.8,Div I,MAC,C,0
AA,54,63,Texas Woman's,195.055,194.096,195.65,Div II,MIC,SC,1
AA,55,54,S.E. Missouri,195.05,194.266,196.175,Div I,MIC,SC,1
AA,56,50,Pennsylvania,195.02,194.619,195.25,Div I,GEC,NE,0
AA,57,55,Sacramento State,194.96,194.316,195.725,Div I,MPSF,W,0
AA,58,1,Air Force,194.615,194.141,195.65,Div I,MPSF,NC,1
AA,59,14,Brown,194.315,193.9,195.2,Div I,GEC,NE,1
AA,60,72,West Chester,193.925,193.069,194.65,Div II,GEC,NE,1
AA,61,82,Yale,193.92,193.118,194.25,Div I,GEC,NE,1
AA,62,58,Southern Conn.,193.0,191.317,193.925,Div II,GEC,NE,1
AA,63,18,Cornell,192.81,192.188,193.575,Div I,GEC,NE,1
