Event,Rank,Team ID,Team,NQS,Average,High,Division,Conference,Region,USAG
UB,1,47,Oklahoma,49.65,49.575,49.675,Div I,Big 12,SC,0
UB,2,22,Florida,49.63,49.58,49.8,Div I,SEC,SE,0
UB,3,37,Michigan,49.585,49.482,49.725,Div I,Big Ten,NE,0
UB,4,15,California,49.575,49.523,49.65,Div I,PAC-12,W,0
UB,5,66,UCLA,49.545,49.489,49.725,Div I,PAC-12,W,0
UB,6,69,Utah,49.525,49.423,49.6,Div I,PAC-12,NC,0
UB,7,20,Denver,49.455,49.368,49.6,Div I,Big 12,NC,0
UB,8,38,Michigan State,49.435,49.294,49.725,Div I,Big Ten,C,0
UB,9,34,LSU,49.42,49.34,49.5,Div I,SEC,C,0
UB,10(t),33,Kentucky,49.41,49.334,49.6,Div I,SEC,C,0
UB,10(t),7,Auburn,49.41,49.357,49.525,Div I,SEC,C,0
UB,12,2,Alabama,49.405,49.323,49.625,Div I,SEC,C,0
UB,13,61,Stanford,49.385,49.156,49.525,Div I,PAC-12,W,0
UB,14(t),24,Georgia,49.35,49.256,49.475,Div I,SEC,SE,0
UB,14(t),5,Arizona State,49.35,49.277,49.55,Div I,PAC-12,SC,0
UB,16,64,Towson,49.345,49.186,49.4,Div I,EAGL,SE,0
UB,17,6,Arkansas,49.34,49.15,49.475,Div I,SEC,SC,0
UB,18,40,Missouri,49.325,49.241,49.45,Div I,SEC,SC,0
UB,19,39,Minnesota,49.32,49.232,49.425,Div I,Big Ten,NC,0
UB,20,46,Ohio State,49.315,49.194,49.4,Div I,Big Ten,C,0
UB,21,48,Oregon State,49.3,49.11,49.55,Div I,PAC-12,W,0
UB,22,43,North Carolina,49.275,49.19,49.425,Div I,EAGL,SE,0
UB,23,36,Maryland,49.245,49.096,49.35,Div I,Big Ten,SE,0
UB,24,41,Nebraska,49.24,48.952,49.5,Div I,Big Ten,SC,0
UB,25,59,Southern Utah,49.23,49.123,49.275,Div I,MRGC,NC,0
UB,26,71,Washington,49.215,49.131,49.475,Div I,PAC-12,W,0
UB,27,49,Penn State,49.205,49.113,49.35,Div I,Big Ten,NE,0
UB,28,28,Illinois,49.195,49.04,49.325,Div I,Big Ten,SC,0
UB,29,8,BYU,49.19,48.946,49.3,Div I,MRGC,NC,0
UB,30,17,Central Michigan,49.16,49.01,49.325,Div I,MAC,C,0
UB,31,44,North Carolina State,49.14,48.946,49.225,Div I,EAGL,SE,0
UB,32,9,Ball State,49.125,48.94,49.225,Div I,MAC,C,0
UB,33,74,Western Michigan,49.11,48.902,49.325,Div I,MAC,C,0
UB,34,56,San Jose State,49.105,48.948,49.325,Div I,MPSF,W,0
UB,35,70,Utah State,49.09,48.713,49.2,Div I,MRGC,NC,0
UB,36,29,Iowa,49.07,48.989,49.3,Div I,Big Ten,NC,0
UB,37,4,Arizona,49.065,48.852,49.225,Div I,PAC-12,SC,0
UB,38,10,Boise State,49.045,48.795,49.175,Div I,MRGC,W,0
UB,39,65,UC Davis,49.035,48.859,49.2,Div I,MPSF,W,0
UB,40,32,Kent State,49.005,48.825,49.45,Div I,MAC,C,0
UB,41,42,New Hampshire,49.0,48.788,49.15,Div I,EAGL,NE,0
