Event,Rank,Team ID,Team,NQS,Average,High,Division,Conference,Region,USAG
VT,1,47,Oklahoma,49.555,49.513,49.65,Div I,Big 12,SC,0
VT,2,37,Michigan,49.53,49.414,49.75,Div I,Big Ten,NE,0
VT,3,34,LSU,49.5,49.427,49.675,Div I,SEC,C,0
VT,4,69,Utah,49.43,49.32,49.525,Div I,PAC-12,NC,0
VT,5,22,Florida,49.41,49.361,49.525,Div I,SEC,SE,0
VT,6,33,Kentucky,49.405,49.325,49.55,Div I,SEC,C,0
VT,7,2,Alabama,49.385,49.286,49.525,Div I,SEC,C,0
VT,8,38,Michigan State,49.38,49.288,49.575,Div I,Big Ten,C,0
VT,9,20,Denver,49.375,49.291,49.6,Div I,Big 12,NC,0
VT,10,15,California,49.37,49.238,49.45,Div I,PAC-12,W,0
VT,11,66,UCLA,49.365,49.284,49.475,Div I,PAC-12,W,0
VT,12,7,Auburn,49.355,49.305,49.5,Div I,SEC,C,0
VT,13,46,Ohio State,49.325,49.225,49.425,Div I,Big Ten,C,0
VT,14,39,Minnesota,49.315,49.273,49.425,Div I,Big Ten,NC,0
VT,15,6,Arkansas,49.31,49.243,49.525,Div I,SEC,SC,0
VT,16,48,Oregon State,49.285,49.21,49.375,Div I,PAC-12,W,0
VT,17,5,Arizona State,49.265,49.148,49.4,Div I,PAC-12,SC,0
VT,18,29,Iowa,49.24,49.177,49.375,Div I,Big Ten,NC,0
VT,19(t),73,West Virginia,49.195,48.981,49.425,Div I,Big 12,SE,0
VT,19(t),24,Georgia,49.195,49.038,49.375,Div I,SEC,SE,0
VT,21,40,Missouri,49.18,49.102,49.45,Div I,SEC,SC,0
VT,22,59,Southern Utah,49.175,49.062,49.3,Div I,MRGC,NC,0
VT,23(t),4,Arizona,49.17,49.002,49.25,Div I,PAC-12,SC,0
VT,23(t),9,Ball State,49.17,49.098,49.25,Div I,MAC,C,0
VT,25,41,Nebraska,49.165,49.075,49.375,Div I,Big Ten,SC,0
VT,26(t),49,Penn State,49.16,49.04,49.375,Div I,Big Ten,NE,0
VT,26(t),36,Maryland,49.16,49.09,49.3,Div I,Big Ten,SE,0
VT,28(t),71,Washington,49.15,49.023,49.25,Div I,PAC-12,W,0
VT,28(t),10,Boise State,49.15,49.03,49.4,Div I,MRGC,W,0
VT,30(t),61,Stanford,49.145,49.048,49.275,Div I,PAC-12,W,0
VT,30(t),23,George Washington,49.145,49.075,49.3,Div I,EAGL,SE,0
VT,32,8,BYU,49.13,49.008,49.375,Div I,MRGC,NC,0
VT,33,27,Illinois State,49.125,48.833,49.25,Div I,MIC,SC,0
VT,34,64,Towson,49.11,48.979,49.4,Div I,EAGL,SE,0
VT,35,17,Central Michigan,49.09,48.99,49.325,Div I,MAC,C,0
VT,36,44,North Carolina State,49.075,49.013,49.175,Div I,EAGL,SE,0
VT,37,43,North Carolina,49.065,49.0,49.125,Div I,EAGL,SE,0
VT,38,28,Illinois,49.055,49.006,49.2,Div I,Big Ten,SC,0
VT,39,65,UC Davis,49.05,48.923,49.225,Div I,MPSF,W,0
VT,40,74,Western Michigan,49.02,48.934,49.25,Div I,MAC,C,0
